id,name,host_id,room_type,price,minimum_nights,listing_url,created_at,updated_at
27499168,Rental unit in Berlin · ★4.28 · 2 bedrooms · 2 beds · 1.5 baths,207178379,Entire home/apt,120,3,https://abc.com,25/02/2024 19:19,25/02/2024 19:19
27903404,Rental unit in Berlin · ★4.43 · 1 bedroom · 2 beds · 1 shared bath,210712144,Private room,,92,https://abc.com,25/02/2024 19:19,25/02/2024 19:19
27512181,Rental unit in Berlin · ★4.50 · 2 bedrooms · 3 beds · 1 bath,62518351,Entire home/apt,95,4,https://abc.com,25/02/2024 19:19,25/02/2024 19:19
27514750,Rental unit in Berlin · ★4.99 · 1 bedroom · 1 bed · 1 bath,1385793,Entire home/apt,133,3,https://abc.com,25/02/2024 19:19,25/02/2024 19:19
27514811,Rental unit in Berlin · ★5.0 · 1 bedroom · 1 bed · 1 bath,29862383,Entire home/apt,150,28,https://abc.com,25/02/2024 19:19,25/02/2024 19:19
27905841,Vacation home in Berlin · ★4.79 · Studio · 3 beds · 1 bath,70204971,Entire home/apt,110,1,https://abc.com,25/02/2024 19:19,25/02/2024 19:19
27536996,Rental unit in Berlin · ★5.0 · 1 bedroom · 1 bed · 1 shared bath,33432331,Private room,,92,https://abc.com,25/02/2024 19:19,25/02/2024 19:19
27918761,Loft in Berlin · ★4.95 · 1 bedroom · 2 beds · 1 bath,20002437,Entire home/apt,220,6,https://abc.com,25/02/2024 19:19,25/02/2024 19:19
27919679,Loft in Berlin · ★4.93 · 3 bedrooms · 4 beds · 2 baths,4656310,Entire home/apt,,5,https://abc.com,25/02/2024 19:19,25/02/2024 19:19
27920752,Rental unit in Berlin · 2 bedrooms · 2 beds · 2 baths,54026785,Entire home/apt,147,180,https://abc.com,25/02/2024 19:19,25/02/2024 19:19
27551986,Rental unit in Berlin · ★4.69 · 1 bedroom · 2 beds · 1 bath,126138928,Entire home/apt,104,2,https://abc.com,25/02/2024 19:19,25/02/2024 19:19
27569413,Rental unit in Berlin · ★4.60 · Studio · 2 beds · 1 private bath,70487869,Private room,75,3,https://abc.com,25/02/2024 19:19,25/02/2024 19:19
27921773,Rental unit in Berlin · ★4.55 · 1 bedroom · 1 bed · 1 shared bath,210914922,Private room,,92,https://abc.com,25/02/2024 19:19,25/02/2024 19:19
27574236,Home in Berlin · ★4.82 · 1 bedroom · 1 bed · 1 shared bath,206176712,Private room,32,1,https://abc.com,25/02/2024 19:19,25/02/2024 19:19
27923447,Rental unit in Berlin · ★5.0 · 1 bedroom · 2 beds · 1 private bath,4466876,Private room,115,1000,https://abc.com,25/02/2024 19:19,25/02/2024 19:19
27592142,Hostel in Berlin · ★4.64 · 1 bedroom · 2 beds · 1 shared bath,181441777,Private room,40,3,https://abc.com,25/02/2024 19:19,25/02/2024 19:19
27592366,Hostel in Berlin · ★4.75 · 1 bedroom · 3 beds · 1 shared bath,181441777,Private room,40,3,https://abc.com,25/02/2024 19:19,25/02/2024 19:19
27925885,Rental unit in Berlin · ★4.25 · 1 bedroom · 1 bed · 1 shared bath,210943950,Private room,,92,https://abc.com,25/02/2024 19:19,25/02/2024 19:19
27622100,Rental unit in Berlin · ★4.92 · 1 bedroom · 1 bed · 1 shared bath,47629088,Private room,75,1,https://abc.com,25/02/2024 19:19,25/02/2024 19:19
27955603,Condo in Berlin · ★4.60 · 2 bedrooms · 2 beds · 1.5 baths,23042311,Entire home/apt,202,3,https://abc.com,25/02/2024 19:19,25/02/2024 19:19
27970474,Rental unit in Berlin · ★4.75 · 1 bedroom · 1 bed · 1 shared bath,94849507,Private room,,92,https://abc.com,25/02/2024 19:19,25/02/2024 19:19
27971467,Rental unit in Berlin · ★4.71 · 1 bedroom · 1 bed · 1.5 shared baths,29507007,Private room,,3,https://abc.com,25/02/2024 19:19,25/02/2024 19:19
27972882,Rental unit in Berlin · ★4.60 · 1 bedroom · 1 bed · 1 shared bath,20549586,Private room,,92,https://abc.com,25/02/2024 19:19,25/02/2024 19:19
27995143,Rental unit in Berlin · ★5.0 · 1 bedroom · 2 beds · 1 bath,33041893,Entire home/apt,,92,https://abc.com,25/02/2024 19:19,25/02/2024 19:19
27622466,Rental unit in Berlin · ★4.73 · 1 bedroom · 1 bed · 1.5 shared baths,3524996,Private room,30,92,https://abc.com,25/02/2024 19:19,25/02/2024 19:19
27627221,Rental unit in Berlin · ★4.86 · 2 bedrooms · 2 beds · 1.5 baths,208443009,Entire home/apt,146,4,https://abc.com,25/02/2024 19:19,25/02/2024 19:19
28000630,Rental unit in Berlin · ★4.64 · Studio · 1 bed · 1 bath,211478275,Entire home/apt,,92,https://abc.com,25/02/2024 19:19,25/02/2024 19:19
27629025,Rental unit in Berlin · 1 bedroom · 1 bed · 1 shared bath,18415404,Private room,,92,https://abc.com,25/02/2024 19:19,25/02/2024 19:19
27645497,Rental unit in Berlin · ★4.63 · 1 bedroom · 4 beds · 1 bath,190957759,Entire home/apt,97,3,https://abc.com,25/02/2024 19:19,25/02/2024 19:19
28002624,Rental unit in Berlin · ★4.40 · 1 bedroom · 1 bed · 1 shared bath,210712144,Private room,,92,https://abc.com,25/02/2024 19:19,25/02/2024 19:19
28004334,Boutique hotel in Berlin · ★4.80 · 1 bedroom · 1 bed · 1 private bath,211505567,Hotel room,87,1,https://abc.com,25/02/2024 19:19,25/02/2024 19:19
27649100,Rental unit in Berlin · ★5.0 · 1 bedroom · 2 beds · 1 bath,173692390,Entire home/apt,,92,https://abc.com,25/02/2024 19:19,25/02/2024 19:19
27654946,Rental unit in Berlin · ★5.0 · 1 bedroom · 2 beds · 1 bath,9787640,Entire home/apt,159,6,https://abc.com,25/02/2024 19:19,25/02/2024 19:19
28008960,Rental unit in Berlin · ★New · 3 bedrooms · 6 beds · 2 baths,194775982,Entire home/apt,250,1,https://abc.com,25/02/2024 19:19,25/02/2024 19:19
